row;force;time
0;-1.10;3000
1;-2.03;3010
2;-0.52;3022
3;-1.35;3034
4;-0.19;3046
5;-0.94;3058
6;-0.18;3070
7;-0.85;3082
8;-0.83;3094
9;-1.31;3105
10;-1.01;3117
11;-0.89;3129
12;-0.88;3141
13;-0.57;3153
14;-0.82;3165
15;0.15;3177
16;-1.56;3189
17;-1.18;3201
18;-1.29;3213
19;-0.42;3224
20;-0.47;3236
21;-1.12;3248
22;-1.27;3260
23;-0.35;3272
24;-1.46;3284
25;-0.36;3296
26;-1.21;3308
27;-0.82;3320
28;-0.85;3332
29;-0.76;3344
30;-0.73;3356
31;-0.60;3367
32;0.24;3379
33;-0.62;3391
34;-0.95;3403
35;-1.55;3415
36;-1.08;3427
37;-1.74;3439
38;-0.94;3451
39;-1.20;3463
40;-0.33;3475
41;-0.68;3486
42;-0.77;3498
43;-1.50;3510
44;-1.11;3522
45;-1.63;3534
46;-1.37;3546
47;-1.07;3558
48;-1.32;3570
49;-1.08;3582
50;-1.44;3594
51;-0.91;3605
52;-0.73;3617
53;0.43;3629
54;-1.62;3641
55;-0.36;3653
56;-2.28;3665
57;0.11;3677
58;-0.04;3689
59;-0.64;3701
60;-1.02;3713
61;-0.85;3725
62;-0.47;3736
63;-1.29;3748
64;-1.06;3760
65;-1.67;3772
66;0.00;3784
67;-1.54;3796
68;-0.03;3808
69;-1.26;3820
70;-0.39;3832
71;-1.80;3844
72;-0.66;3855
73;-1.57;3867
74;-0.40;3879
75;-1.26;3891
76;-1.24;3903
77;-1.16;3915
78;-1.28;3927
79;-0.55;3939
80;-1.04;3951
81;-0.36;3963
82;-1.43;3975
83;0.34;3986
84;-0.56;3998
85;-0.13;4010
86;-1.68;4022
87;-1.23;4034
88;-0.75;4046
89;-0.34;4058
90;-1.28;4070
91;-0.77;4082
92;-0.70;4094
93;-1.07;4105
94;-1.19;4117
95;-1.70;4129
96;-0.44;4141
97;-1.49;4153
98;-0.47;4165
99;-0.41;4177
100;-0.07;4189
101;-1.05;4201
102;-0.27;4213
103;-1.46;4225
104;-0.63;4236
105;-1.21;4248
106;-0.40;4260
107;-0.69;4272
108;-0.60;4284
109;-0.86;4296
110;-0.92;4308
111;-1.24;4320
112;-1.66;4332
113;-1.26;4344
114;-1.19;4355
115;-0.56;4367
116;-1.24;4379
117;-0.63;4391
118;-1.21;4403
119;-0.72;4415
120;-1.29;4427
121;-0.39;4439
122;-1.37;4451
123;-0.37;4463
124;-0.65;4475
125;-0.54;4486
126;-0.30;4498
127;-0.39;4510
128;-0.99;4522
129;-1.02;4534
130;-1.16;4546
131;-1.92;4558
132;-1.12;4570
133;-1.36;4582
134;-1.33;4594
135;-1.08;4605
136;-0.88;4617
137;-1.33;4629
138;-1.26;4641
139;-1.32;4653
140;-0.64;4665
141;-1.13;4677
142;-0.48;4689
143;-0.01;4701
144;-0.20;4713
145;-0.60;4725
146;-0.81;4736
147;-0.49;4748
148;-1.69;4760
149;-1.53;4772
150;-1.72;4784
151;-1.17;4796
152;-1.07;4808
153;-0.67;4820
154;-1.62;4832
155;-0.59;4844
156;-1.07;4855
157;-1.25;4867
158;-0.95;4879
159;-0.43;4891
160;-0.82;4903
161;-1.20;4915
162;-1.63;4927
163;-1.33;4939
164;-0.99;4951
165;-0.80;4963
166;-0.50;4975
167;-1.63;4986
168;-0.80;4998
169;-1.02;5010
170;-0.40;5022
171;-1.13;5034
172;-0.57;5046
173;-1.39;5058
174;-1.09;5070
175;-1.26;5082
176;-1.43;5094
177;-1.14;5105
178;-0.81;5117
179;-1.24;5129
180;-0.79;5141
181;-1.13;5153
182;-1.22;5165
183;-1.23;5177
184;-1.78;5189
185;-1.29;5201
186;-1.17;5213
187;-0.64;5225
188;-1.79;5236
189;-1.24;5248
190;-1.84;5260
191;-1.22;5272
192;-1.62;5284
193;-0.84;5296
194;-0.84;5308
195;-0.67;5320
196;-0.69;5332
197;-1.49;5344
198;-1.45;5355
199;-1.16;5367
200;-0.68;5379
201;-1.18;5391
202;-0.55;5403
203;-0.55;5415
204;-0.29;5427
205;-1.59;5439
206;-0.83;5451
207;-1.01;5463
208;-1.18;5475
209;-1.33;5486
210;-0.21;5498
211;-1.12;5510
212;-0.87;5522
213;-1.13;5534
214;-1.53;5546
215;-1.04;5558
216;-1.28;5570
217;-1.36;5582
218;-1.80;5594
219;-1.13;5605
220;-1.53;5617
221;-0.65;5629
222;-1.14;5641
223;-1.07;5653
224;-1.44;5665
225;-1.15;5677
226;-1.66;5689
227;-1.32;5701
228;-1.46;5713
229;-0.95;5725
230;-0.13;5736
231;-0.82;5748
232;-1.44;5760
233;-1.39;5772
234;-1.09;5784
235;-1.33;5796
236;-1.31;5808
237;-0.94;5820
238;0.05;5832
239;-0.77;5844
240;-0.61;5855
241;-0.49;5867
242;-0.72;5879
243;-0.59;5891
244;-0.39;5903
245;-0.91;5915
246;-1.21;5927
247;-0.56;5939
248;-0.94;5951
249;-1.61;5963
250;-1.56;5975
251;-1.34;5986
252;-1.01;5998
253;-0.70;6010
254;-1.27;6022
255;-1.09;6034
256;-1.41;6046
257;-1.55;6058
258;-1.84;6070
259;-2.05;6082
260;-2.29;6094
261;-1.97;6105
262;-1.42;6117
263;-0.95;6129
264;-0.77;6141
265;-1.00;6153
266;-0.99;6165
267;-0.81;6177
268;-1.00;6189
269;-1.71;6201
270;-1.30;6213
271;-0.60;6225
272;-0.54;6236
273;-0.85;6248
274;-1.46;6260
275;-1.40;6272
